#alpha;r;gamma;n;K
1.5649999999999999E+00;-1.6949999999999998E+00;-6.1701349871895372E-01;-6.9499999999999984E-01;-3.4209704433175974E+00
1.5700000000000001E+00;-1.7100000000000002E+00;-6.2146892635080708E-01;-7.1000000000000019E-01;-3.3557905879315468E+00
1.5750000000000000E+00;-1.7249999999999999E+00;-6.2667536053508410E-01;-7.2499999999999987E-01;-3.2963937761358917E+00
1.5800000000000001E+00;-1.7400000000000002E+00;-6.3270734901947545E-01;-7.4000000000000021E-01;-3.2427905460426589E+00
1.5850000000000000E+00;-1.7549999999999999E+00;-6.3964691365368043E-01;-7.5499999999999989E-01;-3.1950135951877541E+00
1.5900000000000001E+00;-1.7700000000000002E+00;-6.4758428628507170E-01;-7.7000000000000024E-01;-3.1531183143606278E+00
1.5950000000000000E+00;-1.7849999999999999E+00;-6.5661871603081590E-01;-7.8499999999999992E-01;-3.1171834398098506E+00
1.6000000000000001E+00;-1.8000000000000003E+00;-6.6685935474965896E-01;-8.0000000000000027E-01;-3.0873118275447156E+00
1.6050000000000000E+00;-1.8149999999999999E+00;-6.7842622818127984E-01;-8.1499999999999995E-01;-3.0636313541843827E+00
1.6100000000000001E+00;-1.8300000000000003E+00;-6.9145130092294238E-01;-8.3000000000000029E-01;-3.0462959495417765E+00
1.6150000000000000E+00;-1.8450000000000000E+00;-7.0607964418405722E-01;-8.4499999999999997E-01;-3.0354867669062102E+00
1.6200000000000001E+00;-1.8600000000000003E+00;-7.2247071609705726E-01;-8.6000000000000032E-01;-3.0314134977722169E+00
1.6250000000000000E+00;-1.8750000000000000E+00;-7.4079976528307734E-01;-8.7500000000000000E-01;-3.0343158385994848E+00
1.6300000000000001E+00;-1.8900000000000003E+00;-7.6125936937299388E-01;-8.9000000000000035E-01;-3.0444651180497808E+00
1.6350000000000000E+00;-1.9050000000000000E+00;-7.8406112128093830E-01;-9.0500000000000003E-01;-3.0621660940593167E+00
1.6400000000000001E+00;-1.9200000000000004E+00;-8.0943747722464476E-01;-9.2000000000000037E-01;-3.0877589310632487E+00
1.6450000000000000E+00;-1.9350000000000001E+00;-8.3764378179560028E-01;-9.3500000000000005E-01;-3.1216213687053882E+00
1.6500000000000001E+00;-1.9500000000000004E+00;-8.6896048680946281E-01;-9.5000000000000040E-01;-3.1641710944359116E+00
1.6550000000000000E+00;-1.9650000000000001E+00;-9.0369558223001234E-01;-9.6500000000000008E-01;-3.2158683335505986E+00
